"external_id","ingredient_id","name_ar","name_en","quantity","unit","nutrition_reference"
"MEAL-064","MEAL-064-ING-04","طماطم","tomato","150","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-064","MEAL-064-ING-05","زيت زيتون","olive oil","8","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-065","MEAL-065-ING-01","صدر ديك رومي مطبوخ","cooked turkey breast","120","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-065","MEAL-065-ING-02","بطاطس مسلوقة","boiled potato","150","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-065","MEAL-065-ING-03","فلفل رومي","bell pepper","80","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-065","MEAL-065-ING-04","بصل","onion","40","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-065","MEAL-065-ING-05","زيت زيتون","olive oil","6","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-066","MEAL-066-ING-01","دخن جاف","millet, dry","50","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-066","MEAL-066-ING-02","حليب قليل الدسم","low-fat milk","180","ml","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-066","MEAL-066-ING-03","تين مجفف","dried figs","40","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-066","MEAL-066-ING-04","فستق","pistachios","15","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-067","MEAL-067-ING-01","بولنتا مطبوخة","cooked polenta","180","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-067","MEAL-067-ING-02","بيض كامل","whole egg","100","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-067","MEAL-067-ING-03","سبانخ","spinach","80","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-067","MEAL-067-ING-04","زيت زيتون","olive oil","6","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-068","MEAL-068-ING-01","ماكريل مصفى","canned mackerel, drained","90","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-068","MEAL-068-ING-02","خبز شيلم","rye bread","50","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-068","MEAL-068-ING-03","طماطم","tomato","100","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-068","MEAL-068-ING-04","زيت زيتون","olive oil","5","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-069","MEAL-069-ING-01","قاروص مطبوخ","cooked sea bass","160","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-069","MEAL-069-ING-02","فارو مطبوخ","cooked farro","150","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-069","MEAL-069-ING-03","فاصوليا خضراء مطبوخة","cooked green beans","120","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-069","MEAL-069-ING-04","زيت زيتون","olive oil","8","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-070","MEAL-070-ING-01","صدر دجاج مشوي","grilled chicken breast","160","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-070","MEAL-070-ING-02","زبادي يوناني قليل الدسم","low-fat Greek yogurt","80","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-070","MEAL-070-ING-03","خيار","cucumber","100","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-070","MEAL-070-ING-04","طماطم","tomato","100","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-070","MEAL-070-ING-05","زيت زيتون","olive oil","6","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-071","MEAL-071-ING-01","لحم غنم قليل الدهن مطبوخ","cooked lean lamb","130","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-071","MEAL-071-ING-02","فريكة مطبوخة","cooked freekeh","150","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-071","MEAL-071-ING-03","باذنجان","eggplant","150","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-071","MEAL-071-ING-04","زيت زيتون","olive oil","8","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-072","MEAL-072-ING-01","ديك رومي مفروم مطبوخ","cooked turkey, ground","150","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-072","MEAL-072-ING-02","بولنتا مطبوخة","cooked polenta","180","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-072","MEAL-072-ING-03","كوسا","zucchini","120","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-072","MEAL-072-ING-04","طماطم","tomato","80","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-072","MEAL-072-ING-05","زيت زيتون","olive oil","6","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-073","MEAL-073-ING-01","حلوم","halloumi","80","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-073","MEAL-073-ING-02","شعير مطبوخ","cooked barley","160","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-073","MEAL-073-ING-03","فلفل رومي","bell pepper","100","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-073","MEAL-073-ING-04","كوسا","zucchini","80","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-073","MEAL-073-ING-05","زيت زيتون","olive oil","6","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-074","MEAL-074-ING-01","ماكريل مصفى","canned mackerel, drained","120","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-074","MEAL-074-ING-02","بطاطس مسلوقة","boiled potato","180","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-074","MEAL-074-ING-03","خيار","cucumber","80","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-074","MEAL-074-ING-04","سبانخ","spinach","40","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-074","MEAL-074-ING-05","زيت زيتون","olive oil","7","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-075","MEAL-075-ING-01","لحم بقري قليل الدهن مطبوخ","cooked lean beef","140","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-075","MEAL-075-ING-02","شعير مطبوخ","cooked barley","150","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-075","MEAL-075-ING-03","فاصوليا خضراء مطبوخة","cooked green beans","120","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-075","MEAL-075-ING-04","بصل","onion","40","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-075","MEAL-075-ING-05","زيت زيتون","olive oil","6","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-076","MEAL-076-ING-01","بلح بحر مطبوخ","mussels, cooked","160","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-076","MEAL-076-ING-02","معكرونة قمح كامل مطبوخة","cooked whole-wheat pasta","160","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-076","MEAL-076-ING-03","طماطم","tomato","120","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-076","MEAL-076-ING-04","زيت زيتون","olive oil","7","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-077","MEAL-077-ING-01","تمبيه","tempeh","120","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-077","MEAL-077-ING-02","نودلز أرز مطبوخة","rice noodles, cooked","150","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-077","MEAL-077-ING-03","بوك تشوي مطبوخ","bok choy, cooked","100","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-077","MEAL-077-ING-04","زبدة فول سوداني","peanut butter","12","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-078","MEAL-078-ING-01","فخذ دجاج مطبوخ","cooked chicken thigh","150","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-078","MEAL-078-ING-02","فريكة مطبوخة","cooked freekeh","140","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-078","MEAL-078-ING-03","قرنبيط مطبوخ","cauliflower, cooked","150","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-078","MEAL-078-ING-04","زيت زيتون","olive oil","7","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-079","MEAL-079-ING-01","باذنجان","eggplant","180","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-079","MEAL-079-ING-02","عدس مطبوخ","cooked lentils","180","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-079","MEAL-079-ING-03","طماطم","tomato","120","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-079","MEAL-079-ING-04","بصل","onion","50","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-079","MEAL-079-ING-05","زيت زيتون","olive oil","8","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-080","MEAL-080-ING-01","دينيس مطبوخ","cooked sea bream","170","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-080","MEAL-080-ING-02","قرنبيط مطبوخ","cauliflower, cooked","200","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-080","MEAL-080-ING-03","زيت زيتون","olive oil","10","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-080","MEAL-080-ING-04","ليمون","lemon","20","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-081","MEAL-081-ING-01","ديك رومي مفروم مطبوخ","cooked turkey, ground","140","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-081","MEAL-081-ING-02","فاصوليا حمراء مطبوخة","kidney beans, cooked","160","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-081","MEAL-081-ING-03","فلفل رومي","bell pepper","80","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-081","MEAL-081-ING-04","طماطم","tomato","120","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-081","MEAL-081-ING-05","بصل","onion","40","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-082","MEAL-082-ING-01","تروت مطبوخ","cooked trout","160","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-082","MEAL-082-ING-02","شعير مطبوخ","cooked barley","140","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-082","MEAL-082-ING-03","كراث مطبوخ","leek, cooked","80","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-082","MEAL-082-ING-04","زيت زيتون","olive oil","7","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-083","MEAL-083-ING-01","صدر دجاج مشوي","grilled chicken breast","150","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-083","MEAL-083-ING-02","كينوا مطبوخة","cooked quinoa","150","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-083","MEAL-083-ING-03","زيتون أخضر","green olives","30","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-083","MEAL-083-ING-04","طماطم","tomato","80","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-083","MEAL-083-ING-05","زيت زيتون","olive oil","5","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-084","MEAL-084-ING-01","لحم بقري قليل الدهن مطبوخ","cooked lean beef","120","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-084","MEAL-084-ING-02","أرز أبيض مطبوخ","cooked white rice","140","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-084","MEAL-084-ING-03","ملفوف مطبوخ","cabbage, cooked","160","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-084","MEAL-084-ING-04","طماطم","tomato","100","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-084","MEAL-084-ING-05","بصل","onion","30","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-085","MEAL-085-ING-01","إدامامي مطبوخ","edamame, cooked","180","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-086","MEAL-086-ING-01","حمص بطحينة","hummus","80","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-086","MEAL-086-ING-02","جزر","carrot","80","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-086","MEAL-086-ING-03","كرفس","celery","50","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-087","MEAL-087-ING-01","سكير","skyr","200","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-087","MEAL-087-ING-02","كيوي","kiwi","80","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-087","MEAL-087-ING-03","بذور كتان","flaxseed","8","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-088","MEAL-088-ING-01","بيض كامل","whole egg","100","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-088","MEAL-088-ING-02","خيار","cucumber","120","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-089","MEAL-089-ING-01","حمص محمص","chickpeas, roasted","80","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-089","MEAL-089-ING-02","عنب","grapes","120","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-090","MEAL-090-ING-01","فراولة","strawberries","150","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-090","MEAL-090-ING-02","شوكولاتة داكنة","dark chocolate","20","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-091","MEAL-091-ING-01","بطاطس مسلوقة","boiled potato","200","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-091","MEAL-091-ING-02","عسل","honey","20","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-092","MEAL-092-ING-01","أرز أبيض مطبوخ","cooked white rice","180","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-092","MEAL-092-ING-02","زبيب","raisins","30","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-093","MEAL-093-ING-01","موز","banana","120","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-093","MEAL-093-ING-02","تمر مجهول","Medjool dates","40","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-094","MEAL-094-ING-01","بياض بيض","egg whites","180","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-094","MEAL-094-ING-02","أرز أبيض مطبوخ","cooked white rice","180","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-094","MEAL-094-ING-03","بازلاء مطبوخة","peas, cooked","80","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-094","MEAL-094-ING-04","زيت زيتون","olive oil","4","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-095","MEAL-095-ING-01","جبن قريش قليل الدسم","low-fat cottage cheese","200","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-095","MEAL-095-ING-02","بطاطس مشوية","baked potato","200","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-096","MEAL-096-ING-01","حليب قليل الدسم","low-fat milk","250","ml","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-096","MEAL-096-ING-02","مسحوق واي","whey protein powder","30","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-096","MEAL-096-ING-03","كاكاو غير محلى","unsweetened cocoa powder","6","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-097","MEAL-097-ING-01","قد مطبوخ","cooked cod","170","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-097","MEAL-097-ING-02","أرز أبيض مطبوخ","cooked white rice","180","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-097","MEAL-097-ING-03","ليمون","lemon","20","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-097","MEAL-097-ING-04","زيت زيتون","olive oil","5","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-098","MEAL-098-ING-01","حليب شوكولاتة قليل الدسم","chocolate milk, low-fat","300","ml","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-099","MEAL-099-ING-01","كفير قليل الدسم","kefir, low-fat","250","ml","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-099","MEAL-099-ING-02","توت مشكل","mixed berries","80","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-100","MEAL-100-ING-01","حليب قليل الدسم","low-fat milk","250","ml","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-100","MEAL-100-ING-02","تمر مجهول","Medjool dates","40","g","USDA FoodData Central generic food; edible portion; preparation state as named"
"MEAL-100","MEAL-100-ING-03","كاكاو غير محلى","unsweetened cocoa powder","5","g","USDA FoodData Central generic food; edible portion; preparation state as named"
